Text,Category_Conclusion/Future Work,Category_Data/Dataset,Category_Discussion/Analysis,Category_Experiments/Experimentation,Category_Introduction/Background,Category_Methods/Methodology,Category_Results/Findings,Category_Tools/Technologies,Category_Uncategorized
"Moreover,
the emotion called contempt was added as one of the basic
emotions [5].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The associate editor coordinating the review of this manuscript and
approving it for publication was Min Xia
.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"FER is a bafﬂing task and its accuracy is completely depen-
dent on the parameters selected, such as illumination factors,
occlusion, i.e., obstruction on the face like hand, age, and sun-
glasses.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Researchers of the ﬁeld are taking these parameters
into consideration while making their FER models so that
the considerable accuracy can be achieved.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"The description
of some important factors for FER is as follows.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• Illumination factor: The light intensity falling on the
object affects the classiﬁcation of the model.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The tex-
tural values increase the false acceptance rate due to
either by minimizing the distance between classes or by
increasing the contrast [6].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• Expression Intensity: The expression recognition is
highly dependent on the intensity of the expression.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The expression is recognized more accurately when the
expression is less subtle.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"It highly affects the accuracy
of the model.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"VOLUME 8, 2020
This work is licensed under a Creative Commons Attribution 4.0 License.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"For more information, see https://creativecommons.org/licenses/by/4.0/
90495
K. Patel et al.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
": Facial Sentiment Analysis Using AI Techniques: State-of-the-Art, Taxonomies, and Challenges
TABLE 1.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Nomenclature.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FIGURE 1.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
The general pipeline of FER systems.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• Occlusion: If occlusion is present on an image then it
becomes difﬁcult for the model to extract features from
the occluded part due to inaccurate face alignment and
imprecise feature location.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"It also introduces noise to
outliers and the extracted features.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"FER systems can be either static or dynamic based on
image.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Static FER considers only the face point location
information from the feature representation of a single image,
whereas, the Dynamic Image FER considers the temporal
information with continuous frames [7], [8].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The static FER
process over is exhibited in FIGURE 1 with description of
steps as follows.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• Dataset: To avoid over-ﬁtting, the following FER algo-
rithms are discussed, which needs extensive training
data.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A dataset must have well-deﬁned emotion tags
of facial expression is essential for testing, training,
and validating the algorithms for the development of
FER.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"These datasets contain a sequence of images
with distinct emotions, as mentioned above.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"We have
reviewed many datasets to train different models for
real-world proﬁts.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Table 4 provides an overview of dif-
ferent datasets available for FER.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"• Pre-Processing: This step pre-processes the dataset by
removing noise and data compression.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Various steps
involved in data pre-processing are: (i) facial detection
is the power to detect the location of the face in any
image or frame.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"It is often considered as a special case
of object-class detection, which determines whether the
face is present in an image or not, (ii) dimension reduc-
tion is used to reduce the variables by a set of principal
variables.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"If the number of features is more, then it gets
tougher to visualize the training set and to work on it.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Here, PCA and LDA can be used to handle the afore-
mentioned situation.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(iii) normalization: It is also known
as feature scaling.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"After the dimension reduction step,
reduced features are normalized without distorting the
differences in the range of values of features.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"There are
various normalization methods, namely Z Normaliza-
tion, Min-Max Normalization, Unit Vector Normaliza-
tion, which improves the numerical stability and speeds
up the training of the model.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"• Feature Extraction: It is the process of extracting fea-
tures that are important for FER.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"It results in smaller and
richer sets of attributes that contain features like face
edges, corners, diagonal, and other important informa-
tion such as distance between lips and eyes, the distance
between two eyes, which helps in speedy learning of
trained data.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"• Emotion Classiﬁcation: It involves the algorithms to
classify the emotions based on the extracted features.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The classiﬁcation has various methods, which classi-
ﬁes the images into various classes.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The classiﬁcation
of a FER image is carried out after passing through
pre-processing steps of face detection and feature extrac-
tion.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Various classiﬁcation techniques are discussed
later in the proposed survey.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The
FER
system
has
various
applications
such
as
computer-human interactions, healthcare system [9]–[14],
and social marketing.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"In the proposed survey, we analyze the
existing surveys pertaining to different approaches of FER
proposed by the authors globally.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"We compare the surveys
and develop a taxonomy on various pre-processing, feature
extraction, and emotion classiﬁcation steps.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"We also discuss
the various open issues and future research challenges related
to FER.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MOTIVATION
Paul Ekman ﬁrst coined the term FER in the mid-1980s.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Since then, various machine learning techniques like random
90496
VOLUME 8, 2020
K. Patel et al.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
": Facial Sentiment Analysis Using AI Techniques: State-of-the-Art, Taxonomies, and Challenges
forest classiﬁers, artiﬁcial neural networks, etc.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"were used by
the researchers to recognize the seven basic emotions.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"They
also claimed good and effective results.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Automated human
emotion detection is all-important in security and surveillance
applications these days.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"To further improve its performance,
the researchers are trying hard to explore further in this ﬁeld.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Various challenges like occlusion in datasets, over-ﬁtting of
models, etc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"have to be taken care of while implementing the
FER.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"As per the literature explored and knowledge of the
authors, no survey is available, which exhaustively compares
the FER approaches from the perspective of AI.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Motivated
from the aforementioned fact, we present a comprehensive
survey on FER using Artiﬁcial Intelligence (AI) techniques in
which we have explored the state-of-the-art machine learning
and DL (DL) approaches with their merits and demerits.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"SCOPE OF THE SURVEY
Facial sentiment analysis is the most trending topics in Com-
puter Vision area.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"A lot of literature has already been pub-
lished by researchers across the globe in this ﬁeld, but still,
many researchers are trying to solve the challenges and issues
in FER.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Various surveys have been published in recent years
[7], [15], [26], [27] on sentiment analysis.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"These surveys have
mainly focused on traditional methods like support vector
machine (SVM), decision tree classiﬁers, and artiﬁcial neural
network (ANN).",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The DL methods [28], [29] have rarely been
explored by the researchers working in the same ﬁeld.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"So,
in this paper, we analyzed the surveys on facial sentiment
analysis and presented a comparative analysis.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"For example,
Hemalatha and Sumathi [15] surveyed various methods for
facial detection, facial feature extraction and classiﬁcation of
FER, but not presented the proper comparison of methods
considered and the dataset used.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Later, the authors in [16] also
presented the survey on FER, but they had not mentioned any-
thing about datasets useful for emotions recognition.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Another
survey of Chengeta and Viriri [19] was on various traditional
feature extraction techniques like principal component analy-
sis (PCA), Linear Discriminant Analysis (LDA), and Locally
Linear Embedding (LLE), and thereafter they proposed an
ensemble classiﬁer.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"They failed to compare the advanced
DL approach, which is currently the most novel approach in
FER.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Again, Baskar and Kumar [18] also lacks in explaining
various DL approaches.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Recently, DL-based FER approaches has been explored in
[7], [27], which are the detailed surveys without the discus-
sion on FER.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Therefore, in the proposed survey, we make a
systematic survey of various databases used for FER, various
methods for face detection, facial feature extraction, and
emotion classiﬁcation, future challenges, and current issues
in facial sentiment analysis.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Our aim for this survey that it
would be quite beneﬁcial for those who want to explore in
this ﬁeld and they will get a complete overview of all the
advanced systematic approaches in facial sentiment analysis.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Table 2 presents relative differences between the existing
surveys with the proposed survey.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"C. RESEARCH CONTRIBUTIONS
In this paper, we surveyed various existing literature on Facial
Sentiment Analysis focusing on the DL techniques, datasets,
and the methodologies used to classify emotions.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Following
are the crisp contributions of the paper.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"• We present an in-depth survey on FER methods and
dataset used.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Then, we highlight the advanced methods
used for FER and their comparative analysis.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"• We present a taxonomy on FER methods based on face
detection, feature extraction, and emotion classiﬁcation.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"• Finally, we presented the open issues and research chal-
lenges in the Facial Sentiment Analysis.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"D. ORGANIZATION
Structure of the survey is as shown in FIGURE 2.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Section II
focuses on the evolution of facial recognition techniques
presented by the authors across the globe and the dataset
used.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"It also describes the need for facial detection, dimension
reduction, normalization, feature extraction, and emotion
classiﬁcation.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"In Section III, we highlighted the bibliometric
analysis and methodology used for conducting the proposed
survey.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"In Section IV, we discuss various facial expression
databases available for analysis.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Section V discusses the
proposed taxonomy (facial sentiment analysis taxonomy).",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"In Section VI, we discuss the open issues and research chal-
lenges of FER, and ﬁnally, Section VII concludes the survey.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Table 1 lists all the acronyms used in the paper.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
II.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"BACKGROUND
This section focuses on the background and importance of
facial expressions for sentiment analysis.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"It is bifurcated into
four subsections.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Firstly, we discuss the evolution of the
time-line of facial recognition methods.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Secondly, we dis-
cuss the need for Facial Detection, Dimension Reduction,
and Normalization for sentiment analysis.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"In the third sub-
section, we focus on the need for feature extraction from
the face image.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Finally, we highlight the need for emotion
classiﬁcation.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"A. EVOLUTION TIMELINE
Figure 3 gives a brief overview on the evolutionary time-line
of facial sentimental recognition methods given by the
researchers across the globe along with the datasets.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"There
exists various algorithms for FER such as traditional state-of-
the-art algorithms and DL-based algorithms proposed by var-
ious researchers till 2020.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The emotion recognition was ﬁrst
stated in the paper proposed by Bassili [30] in 1978 where
authors have classiﬁed the emotions into six basic gestures
such as happiness, sadness, fear, surprise, anger, and dis-
gust.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Different algorithms (traditional and DL) were used for
FER by the authors.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"For example, Padgett and Cottrell [31],
the ﬁrst time (ANN) in 1996, SVM [32] in 2000, CNN [33]
in 2003, Multi-SVM [34] in 2006, boosted DBN [34] in 2014,
RNN [35] in 2015, and (PHRNN and MSCNN) [36] in 2017.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Also, many datasets have been created for training ans testing
VOLUME 8, 2020
90497
K. Patel et al.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
": Facial Sentiment Analysis Using AI Techniques: State-of-the-Art, Taxonomies, and Challenges
TABLE 2.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A relative comparison of the proposed survey with the existing FER surveys.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
these FER models.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The time-line shows the list of datasets as
per the creation year.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Datasets are- JAFFE [37] in 1998, CK+
[38] in 2000, MMI [39] in 2002, Oulu-CASIA [40] in 2008,
Multi-PIE [41] in 2009, (RaFD [42], MUG [43], and TFD
[44]) in 2010, and FER-2013 [45] in 2013.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As new datasets
are being available supported with DL algorithms to solve the
challenges in FER.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"NEED FOR FACIAL DETECTION, DIMENSION
REDUCTION AND NORMALIZATION
In the FER process, the ﬁrst pre-requisite step is face detec-
tion, which involves the detection of a face in the image or
frame and removes the insigniﬁcant pixels.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The face detection
algorithm gives the output in the form of coordinates of the
bounding box, which is put over the face.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Detecting a face
is quite complex as the human faces can be in different sizes
and shapes.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"So, the face detection algorithm plays a vital role
in the aforementioned situation.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Various algorithms for face
detection are available such as Viola-Jones [46], PCA, LDA,
and genetic algorithms.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Viola-Jones algorithm is one of the
most widely used algorithms for face detection.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"It differenti-
ates faces from the non-faces.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"PCA is the other most widely
used face detection method.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"It is used to reduce the image
dimensions and has four main parts:- feature covariance,
eigen decomposition, principal component transformation,
and choosing components [47].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Reducing the dimensions
from m −dimensions to n −dimensions: ∀m > n does not
means we are losing the properties of the image, moreover it
90498
VOLUME 8, 2020
K. Patel et al.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
": Facial Sentiment Analysis Using AI Techniques: State-of-the-Art, Taxonomies, and Challenges
FIGURE 2.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Roadmap of the survey.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
preserves [48].,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"After the dimension reduction, normalization
can be used to scale-up the image.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"C. NEED FOR FEATURE EXTRACTION
Facial Expression analysis comprises of various methods
such as facial landmark identiﬁcation, feature extraction,
and different feature extraction databases.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Facial landmarks
are drawn by the facial key points which are derived from
the geometry of the face [16].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Feature Extraction is done
after preprocessing phase [49].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"There are two methods avail-
able for feature extraction are appearance-based extrac-
tion and geometric-based extraction.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The geometric-based
method extracts feature like edge features and corner features.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Neha et al.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"[50] analyzed the performance of the feature
extraction technique Gabor ﬁlter.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"They also tested the average
gabor ﬁlter and compared both the ﬁltering techniques to
enhance the recognition rate.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"• Corners: Corners of an image is a signiﬁcant property,
which can be inferred from the complex objects of
the image.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cho et al.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"[51] developed the corner detec-
tion technique, which measures the distance and angle
between two straight lines.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"• Edges: They are one-dimensional features that represent
the boundary of an image region.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The second method, which is an appearance-based method,
takes care of the states of different points of the face, such
as the position of the eye, shape of important points such
as mouth and eyebrows using the salient point features.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The majority of the traditional methods have used Local
Binary Pattern (LBP) as the feature extraction technique,
which is a generic-based framework for the extraction of
features from the static image.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"It converts the most impor-
tant features of the input image, as mentioned above, into a
histogram [52].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"D. NEED FOR EMOTION CLASSIFICATION
The third step in the FER is the Emotion Classiﬁcation.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"There
are various methods that are used for the classiﬁcation of
emotions after applying face detection and feature extraction
algorithms.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The various classiﬁcation algorithms are con-
volutional neural network (CNN) [53], SVM, and restricted
boltzmann machine (RBM).",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The most widely used method
for classiﬁcation is CNN.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"It is the most efﬁcient algorithm as
it can be applied directly to the input image without applying
any feature extraction and face detection algorithms and still
gets better accuracy over the input data [54].",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The number
of images in the training data set also has a huge impact
VOLUME 8, 2020
90499
K. Patel et al.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
": Facial Sentiment Analysis Using AI Techniques: State-of-the-Art, Taxonomies, and Challenges
FIGURE 3.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Evolution of facial recognition methods and datasets.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
on classiﬁcation results.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"CNN faces a huge challenge in the
training of limited-image dataset.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"So, the models which are
built on a limited dataset can use the SVM algorithm for fea-
ture extraction and face detection.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The emotions of a human
are not static, it varies time-to-time.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"So, the classiﬁcation of
situation-based emotions is challenging.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
III.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"SURVEY METHODOLOGY
In this section, we present the methodology followed to con-
duct the proposed survey such as search strings used, research
questions, and the authentic data sources.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"RESEARCH PLANNING
The proposed survey initiated with the discussion and iden-
tiﬁcation of various quality research questions, data sources,
as well as search criteria.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"We identiﬁed the relevant surveys
proposed by various researchers and if data is found relevant,
then we extracted data from it [55].",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"RESEARCH QUESTIONS
The proposed survey found out the existing literature on
Facial Sentiment Analysis.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"The identiﬁed research questions
are speciﬁed in Table 3.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TABLE 3.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Research questions and their objectives.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
